pk,title,overview,release_date,poster_path,vote_average,popularity,key
1,앤트맨과 와스프: 퀀텀매니아,"슈퍼히어로 파트너인 스캇 랭과 호프 반 다인, 호프의 부모 재닛 반 다인과 행크 핌, 그리고 스캇의 딸 캐시 랭까지 미지의 양자 영역 세계 속에 빠져버린 앤트맨 패밀리. 그 곳에서 새로운 존재들과 무한한 우주를 다스리는 정복자 캉을 만나며, 그 누구도 예상 못 한 모든 것의 한계를 뛰어넘는 모험을 시작하게 되는데…",2023-02-15,/sz6mTIDDQmR3DYgJudiTmoW2gR5.jpg,6.5,1998.056,F3De2d4RQPY
2,유랑지구 2,"태양계 소멸의 위기를 맞은 인류는 지구 표면에 거대한 엔진을 달아 궤도를 옮기는 ‘유랑지구 프로젝트’에 돌입한다. 하지만, 데이터베이스로 영생을 가지려는 ‘디지털 라이프’와 대립하게 되며 프로젝트는 난관에 부딪히게 되고, 그 과정 속 달과의 충돌이라는 예상치 못한 대재앙에 놓이게 되는데… 살아남기 위한 선택은 단 하나, 달을 파괴하라!",2023-01-22,/pajq0n6FZivirCg1ifpe4zYKvsA.jpg,7.2,1348.786,M0FcTG7MEzI
3,크레이터,달 광산 정착지의 다섯 아이들이 탐사선을 훔쳐 타고 미지의 분화구를 탐험하는 여정에 나선다.,2023-05-12,/fYPegDwZoD1jfVC5sszbEiQmE0c.jpg,6.8,1264.84,UjAT1p9Y7wg
4,가디언즈 오브 갤럭시: Volume 3,"가모라를 잃고 슬픔에 빠져 있던 피터 퀼이 위기에 처한 은하계와 동료를 지키기 위해 다시 한 번 가디언즈 팀과 힘을 모으고, 성공하지 못할 경우 그들의 마지막이 될지도 모르는 미션에 나서는 이야기.",2023-05-03,/b7epV2cQZVIR4u5VZraDwD0AgiE.jpg,8.1,1383.714,LzbOxJEm3Ec
5,아바타: 물의 길,"판도라 행성에서 제이크 설리와 네이티리가 이룬 가족이 겪게 되는 무자비한 위협과 살아남기 위해 떠나야 하는 긴 여정과 전투, 그리고 견뎌내야 할 상처에 대한 이야기를 그렸다. 살아남기 위해 설리 가족이 숲에서 바다로 터전을 옮기면서 겪게 되는 화합의 과정, 그리고 곳곳에서 도사리는 새로운 위협까지 역경 속에서 더 아름답게 펼쳐진다.",2022-12-14,/z56bVX93oRG6uDeMACR7cXCnAbh.jpg,7.7,1299.916,nheTIHZmCio
6,블랙 팬서: 와칸다 포에버,"국왕이자 블랙 팬서인 티찰라의 죽음 이후 수많은 강대국으로부터 위협을 받게 된 와칸다. 라몬다, 슈리 그리고 나키아, 오코예, 음바쿠는 각자 사명감을 갖고 와칸다를 지키기 위해 외로운 싸움을 이어간다. 한편, 비브라늄의 패권을 둘러싼 미스터리한 음모와 함께 깊은 해저에서 모습을 드러낸 최강의 적 네이머와 탈로칸의 전사들은 와칸다를 향해 무차별 공격을 퍼붓기 시작하는데…",2022-11-09,/nPpS4H39AhDD8g5VPt6tQcFJNtL.jpg,7.3,429.588,vcLtKBRt344
7,블랙 아담,"기원전 가장 번성하고 위대한 고대 국가였지만 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크. 인터갱의 눈을 피해 고대 유물을 찾던 아드리아나는 우연히 5000년 동안 잠들어 있던 블랙 아담을 깨우게 된다.  엄청난 괴력과 스피드, 방탄 능력과 자유자재의 고공비행, 번개를 쏘는 능력까지. 온몸이 무기인 블랙 아담은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고 칸다크 국민들은 이에 열광한다. 한편, 그의 폭주를 막기 위해 호크맨, 닥터 페이트, 아톰 스매셔, 사이클론으로 구성된 히어로 군단 저스티스 소사이어티가 칸다크에 나타나는데...",2022-10-19,/mEdMHGy1FfCUc7PskFO0tibm8jp.jpg,7.1,425.571,jD5Yc2qMzBw
8,"매기 심슨의 ""베이비 로그 원""",어린이집으로 향하던 매기는 호머가 한눈을 판 사이 그로구의 비행 유모차에 올라타 은하계를 가로지르는 하이퍼스페이스로 모험을 떠난다. '스타워즈'의 모든 것를 기념하는 이 에픽한 스케일의 단편에서 매기는 스프링필드에서 제국군의 타이 파이터 대대를 상대로 전투를 벌인다.,2023-05-04,/1iKP4PLgFOBw8cTMp950Kr2xw7c.jpg,5.4,350.615,nX3WGutkVTw
9,65,"우주 비행 중 행성과의 치명적인 충돌이 일어난 후, 조종사 밀스와 유일한 탑승 생존자 코아는 6,500만 년 전 공룡의 시대 지구에 불시착한다.  모든 것이 위험과 죽음과 맞닿아 있는 상황, 그들은 거대한 행성과의 충돌 전, 반드시 지구를 탈출해야만 한다!",2023-03-02,/o9ItQpKVvhGcAcJFyIpFM7YYKuv.jpg,6.2,411.366,TKWV0_QIQF4
10,가디언즈 오브 갤럭시 Vol. 2,타노스에 맞서 은하계를 구하고 최고의 해결사로 등극한 스타로드 일행. 하지만 소버린 행성의 여사제 아이샤를 돕던 중 옛버릇을 고치지 못하고 행성의 배터리를 훔쳤다가 소버린 종족에 쫓기는 신세가 된다. 그 과정에서 피터의 아버지 에고가 그들을 돕는다. 아픈 엄마와 어린 자신을 버리고 떠난 아버지에 대한 원망이 컸던 피터는 에고의 행성에서 아버지의 능력을 확인하곤 그 힘에 이끌린다. 하지만 가모라는 에고의 행성에서 이상한 기운을 감지한다. 한편 반란군에 의해 위기에 처한 욘두는 로켓과 그루트의 도움으로 목숨을 구한다.,2017-04-19,/uDuwGhQgffd5GQ695oUfy5oZGqP.jpg,7.6,315.616,UI2opSniclI
